timestamp;muscle_group;exercise;weight;sets;comments;failure
1/12/2025 16:12:43;Chest;Incline Dumbbell Flies;12;3;15,15,15;No
1/12/2025 16:28:51;Shoulders;Seated Overhead Press;22;4;10,10,10,8;No
1/12/2025 16:41:49;Shoulders;Dumbbell Lateral Raises;12;3;15,14,13;No
1/12/2025 16:53:02;Triceps;Cable Triceps Pushdowns;30;3;15,14,13;No
1/12/2025 17:03:52;Triceps;Overhead Rope Triceps Extension;17,5;3;10,10,10;No
2/12/2025 15:45:39;Back;Lat Pulldown (Machine);100;4;10,10,10,10;No
2/12/2025 16:04:33;Back;Barbell Rows;70;4;10,10,10,10;No
2/12/2025 16:25:43;Back;Deadlift;120;3;7,6,6;No
2/12/2025 16:38:38;Shoulders;Face Pulls;32,5;3;15,15,15;No
2/12/2025 16:52:03;Biceps;Incline Dumbbell Curls;14;3;12,10,11;No
2/12/2025 17:03:00;Biceps;Spider Hammer Curls;16;3;14,14,14;No
3/12/2025 16:07:04;Legs;Hack Squat (Machine);60;4;8,8,8,8;No
3/12/2025 16:20:14;Legs;Leg Press;160;3;12,12,12;No
3/12/2025 16:44:34;Legs;Walking Lunges;20;3;12,12,12;No
4/12/2025 16:13:13;Chest;Incline Barbell Press;60;3;10,10,10;No
4/12/2025 16:29:32;Chest;Seated Chest Press;90;3;9,7,7;No
4/12/2025 16:44:46;Shoulders;Arnold Press;20;3;10,10,8;No
4/12/2025 16:59:19;Shoulders;Cable Lateral Raises;7,5;3;15,15,15;No
4/12/2025 17:08:21;Triceps;Dips;0;3;15,14,12;No
4/12/2025 17:22:19;Triceps;Skull Crushers;30;3;10,10,11;No
9/12/2025 7:56:26;Back;Deadlift;120;3;7,7,6;No
9/12/2025 7:56:58;Back;Barbell Rows;80;4;8,8,8,8;No
9/12/2025 7:57:40;Back;Lat Pulldown;70;4;10,10,10,9;No
9/12/2025 7:58:13;Shoulders;Face Pulls;35;4;12,12,12,12;No
9/12/2025 7:59:15;Biceps;Cable Incline Curl;12,5;3;11,11,11;No
9/12/2025 7:59:55;Biceps;Hammer Curls;24;3;10,10,10;No
15/12/2025 16:25:16;Chest;Incline Dumbbell Press;32;3;10,10,8;No
15/12/2025 16:42:51;Chest;Dumbbell Flat Flies;14;4;15,15,15,15;No
15/12/2025 16:59:34;Shoulders;Seated Overhead Press;22;4;10,9,8,7;No
15/12/2025 17:13:14;Shoulders;Dumbbell Lateral Raises;12;3;15,15,15;No
15/12/2025 17:24:05;Triceps;Cable Triceps Pushdowns;30;3;15,14,12;No
15/12/2025 17:34:39;Triceps;Overhead Rope Triceps Extension;17,5;3;12,11,12;No
16/12/2025 15:49:13;Back;Lat Pulldown;70;3;10,10,10;No
16/12/2025 16:09:05;Back;Barbell Rows;80;4;10,10,10,10;No
16/12/2025 16:30:41;Shoulders;Face Pulls;35;3;15,15,15;No
16/12/2025 16:43:21;Biceps;Incline Dumbbell Curls;16;3;8,7,6;No
16/12/2025 16:56:13;Biceps;Hammer Curls;24;3;11,11,11;No
18/12/2025 15:58:32;Legs;Leg Press;170;3;10,10,10;No
18/12/2025 16:20:37;Legs;Leg Curl;50;4;10,10,10,9;No
